campaign_name,adset_name,date,spend,impressions,clicks,ctr,purchases,revenue,roas,creative_type,creative_message,audience_type,platform,country
Men Comfortmax Launch,Adset-2 LAL2,2025-02-21,463.21,200487,4323.0,0.0216,107,3193.16,6.89,UGC,Breathable modal that moves with you — limited offer on men inner vests.,Broad,Facebook,US
MEN COMFORTMAX LAUNCH,Adset-2 LAL2,2025-02-22,616.02,455699,6865.0,0.0151,191,4865.6,7.9,Carousel,Seamless confidence for every day — new men inner vests.,Broad,Facebook,IN
Men_ComfortMax_Launch,Adset-2 LAL2,2025-02-23,743.65,332832,6329.0,0.019,131,4889.87,6.58,Image,"All‑day comfort, zero pinch — try our men briefs!",Lookalike,Facebook,US
men comfortmax launch,Adset-2 LAL2,2025-02-24,199.53,132672,2181.0,0.0164,64,1579.22,7.91,Image,Summer‑ready essentials — sweat‑wicking men boxers.,Broad,Facebook,UK
Men Comfo tmax Launch,Adset-2 LAL2,2025-02-25,278.08,313219,6972.0,0.0223,153,6758.64,24.3,Video,Summer‑ready essentials — sweat‑wicking men briefs.,Lookalike,Facebook,US
Men ComfortMax Launch,Adset-2 LAL2,2025-02-26,241.59,404924,4608.0,0.0114,120,2710.02,11.22,Video,"Wire‑free ease, cloud‑soft cups — men trunks that fits right.",Retargeting,Facebook,UK
Men ComfortMax Launch,Adset-2 LAL2,2025-02-27,294.19,325509,5337.0,0.0164,151,2867.51,9.75,Video,Invisible under tees — seamless men briefs.,Retargeting,Facebook,IN
Men_Com-ortMax_Launch,Adset-2 LAL2,2025-02-28,591.06,253112,4251.0,0.0168,109,3684.7,6.23,Image,Doctors recommend breathable bamboo — meet our men boxers.,Broad,Facebook,IN
men comfortmax launch,Adset-2 LAL2,2025-03-01,277.11,281834,2617.0,0.0093,74,1963.68,7.09,Video,Breathable microfiber that moves with you — limited offer on men inner vests.,Broad,Instagram,IN
men comfortmax launch,Adset-2 LAL2,2025-03-02,34.93,513208,9684.0,0.0189,330,9991.73,286.05,Video,3‑pack deal ends tonight — upgrade your men drawer with athletic briefs.,Retargeting,Facebook,US
men comfortmax launch,Adset-2 LAL2,2025-03-03,119.22,168428,4441.0,0.0264,120,5302.52,44.48,Video,Breathable microfiber that moves with you — limited offer on men boxers.,Lookalike,Instagram,US
Men_ComfortMax_Launch,Adset-2 LAL2,2025-03-04,662.15,237425,4192.0,0.0177,103,3780.19,5.71,Carousel,"All‑day comfort, zero pinch — try our men boxers!",Broad,Facebook,US
Men  ComfortMax  Launch,Adset-2 LAL2,2025-03-05,613.44,27436,,0.0257,27,643.23,1.05,UGC,Seamless confidence for every day — new men athletic briefs.,Retargeting,Facebook,US
men comfortmax launch,Adset-2 LAL2,2025-03-06,419.7,66149,1320.0,0.0199,30,999.28,2.38,Image,Stretch that snaps back — durable men athletic briefs.,Broad,Instagram,US
Men ComfortMax Launch,Adset-2 LAL2,2025-03-07,498.82,422385,6387.0,0.0151,146,5851.9,11.73,Carousel,"Push comfort, not wires — everyday men inner vests.",Broad,Instagram,IN
Men  ComfortMax  Launch,Adset-2 LAL2,2025-03-08,307.34,14925,193.0,0.0129,3,86.09,0.28,Video,Seamless confidence for every day — new men briefs.,Lookalike,Facebook,UK
Men ComfortMax Launch,Adset-2 LAL2,2025-03-09,310.71,127452,2774.0,0.0218,83,2882.28,9.28,Image,Hot & comfy: men athletic briefs now 20% off — feel the difference.,Broad,Instagram,US
Men  ComfortMax  Launch,Adset-2 LAL2,2025-03-10,304.0,450573,2056.0,0.0046,71,1327.16,4.37,Video,Cooling mesh panels for workouts — men trunks you’ll actually love.,Broad,Facebook,UK
Men ComfortMax Launch,Adset-2 LAL2,2025-03-11,695.93,320815,3141.0,0.0098,85,3722.93,5.35,Image,Hot & comfy: men briefs now 20% off — feel the difference.,Lookalike,Instagram,IN
Men Comfortmax Launch,Adset-2 LAL2,2025-03-12,184.69,15841,335.0,0.0211,8,196.59,1.06,Video,Seamless confidence for every day — new men athletic briefs.,Lookalike,Facebook,US
Men  Co fortMax  Launch,Adset-2 LAL2,2025-03-13,336.69,142442,1546.0,0.0109,29,1150.77,3.42,Video,Summer‑ready essentials — sweat‑wicking men inner vests.,Broad,Facebook,US
MEN COMFORTMAX LAUNCH,Adset-2 LAL2,2025-03-14,214.71,375804,6066.0,0.0161,115,2632.47,12.26,Image,No ride‑up guarantee — best‑selling men boxers back in stock.,Retargeting,Facebook,US
Men ComfortMax Launch,Adset-2 LAL2,2025-03-15,753.7,300194,2874.0,0.0096,66,2624.28,3.48,Video,Hot & comfy: men athletic briefs now 20% off — feel the difference.,Broad,Instagram,US
Men ComfortMax Launch,Adset-2 LAL2,2025-03-16,97.95,495312,11286.0,0.0228,381,9204.26,93.97,Carousel,Stretch that snaps back — durable men briefs.,Retargeting,Facebook,US
Men ComfortMax Launch,Adset-2 LAL2,2025-03-17,841.29,132330,1628.0,0.0123,46,1657.1,1.97,UGC,Doctors recommend breathable microfiber — meet our men inner vests.,Retargeting,Instagram,US
Men_ComfortMax_Launch,Adset-2 LAL2,2025-03-18,831.46,309997,5689.0,0.0184,119,2838.38,3.41,UGC,"Ultra‑soft waistband, no marks — premium men boxers.",Broad,Instagram,US
Men ComfortMax Launch,Adset-2 LAL2,2025-03-19,429.33,210580,2560.0,0.0122,59,2635.54,6.14,Video,Breathable organic cotton that moves with you — limited offer on men athletic briefs.,Broad,Facebook,US
men comfortmax launch,Adset-2 LAL2,2025-03-20,720.09,229525,4101.0,0.0179,124,2661.86,3.7,Carousel,"Wire‑free ease, cloud‑soft cups — men briefs that fits right.",Broad,Instagram,UK
MEN COMFORTMAX LAUNCH,Adset-2 LAL2,2025-03-21,194.34,52345,730.0,0.0139,15,361.8,1.86,Carousel,Breathable modal that moves with you — limited offer on men boxers.,Broad,Facebook,IN
Men ComfortMax Launch,Adset-2 LAL2,2025-03-22,118.01,46347,674.0,0.0145,18,751.72,6.37,Carousel,"Push comfort, not wires — everyday men briefs.",Lookalike,Instagram,US
Men_ComfortMax_Launch,Adset-2 LAL2,2025-03-23,417.43,517022,10391.0,0.0201,333,10176.66,24.38,Video,Cooling mesh panels for workouts — men inner vests you’ll actually love.,Lookalike,Instagram,IN
Men_ComfortMax_Launch,Adset-2 LAL2,2025-03-24,472.82,498473,5068.0,0.0102,98,2295.67,4.86,Video,"All‑day comfort, zero pinch — try our men trunks!",Broad,Facebook,US
men comfortmax launch,Adset-2 LAL2,2025-03-25,816.81,188566,3518.0,0.0187,101,4346.41,5.32,Image,"Wire‑free ease, cloud‑soft cups — men trunks that fits right.",Broad,Facebook,US
Men Comfortmax Launch,Adset-2 LAL2,2025-03-26,365.89,516181,8699.0,0.0169,0,0.0,0.0,Carousel,Confidence starts inside — elevate with men briefs.,Lookalike,Instagram,US
Men_ComfortMax_Launch,Adset-2 LAL2,2025-03-27,143.94,409270,6394.0,0.0156,130,2647.63,18.39,UGC,"Push comfort, not wires — everyday men athletic briefs.",Broad,Instagram,UK
MEN COMFORTMAX LAUNCH,Adset-2 LAL2,2025-03-28,643.65,167206,2392.0,0.0143,32,1094.91,1.7,Image,Summer‑ready essentials — sweat‑wicking men athletic briefs.,Broad,Facebook,US
Men_ComfortMax_Launch,Adset-2 LAL2,2025-03-29,892.68,117923,985.0,0.0084,25,706.92,0.79,Video,"All‑day comfort, zero pinch — try our men trunks!",Broad,Instagram,US
MEN COMFORTMAX LAUNCH,Adset-2 LAL2,2025-03-30,650.63,421410,6702.0,0.0159,190,3835.12,5.89,Video,Stretch that snaps back — durable men trunks.,Lookalike,Facebook,US
men comfortmax launch,Adset-2 LAL2,2025-03-31,528.75,337613,5212.0,0.0154,126,4330.47,8.19,UGC,Hot & comfy: men trunks now 20% off — feel the difference.,Lookalike,Instagram,US
Men ComfortMax Launch,Adset-3 ATC,2025-01-01,243.03,214520,2968.0,0.0138,54,1009.63,4.15,Image,"Wire‑free ease, cloud‑soft cups — men inner vests that fits right.",Broad,Instagram,UK
Men Comfortmax Launch,Adset-3 ATC,2025-01-02,396.11,235271,3950.0,0.0168,68,2361.56,5.96,UGC,No ride‑up guarantee — best‑selling men trunks back in stock.,Broad,Instagram,US
Men ComfortMax Launch,Adset-3 ATC,2025-01-03,148.12,43165,,0.0176,23,,3.04,Carousel,Stretch that snaps back — durable men inner vests.,Broad,Facebook,US
MEN COMFORTMAX LAUNCH,Adset-3 ATC,2025-01-04,328.78,363617,4712.0,0.013,110,4397.49,13.38,Video,Hot & comfy: men boxers now 20% off — feel the difference.,Lookalike,Instagram,IN
Men ComfortMax Launch,Adset-3 ATC,2025-01-05,304.44,279737,3676.0,0.0131,86,2592.4,8.52,Carousel,Seamless confidence for every day — new men athletic briefs.,Broad,Instagram,US
Men ComfortMax Launch,Adset-3 ATC,2025-01-06,289.23,384676,5408.0,0.0141,113,2092.56,7.23,Carousel,Cooling mesh panels for workouts — men athletic briefs you’ll actually love.,Broad,Facebook,US
Men Comfortmax Launch,Adset-3 ATC,2025-01-07,484.24,283937,3212.0,0.0113,76,2300.38,4.75,Video,Stretch that snaps back — durable men athletic briefs.,Lookalike,Instagram,IN
men comfortmax launch,Adset-3 ATC,2025-01-08,442.71,253817,3748.0,0.0148,64,1945.92,4.4,Video,Confidence starts inside — elevate with men trunks.,Broad,Facebook,IN
Men ComfortMax Launch,Adset-3 ATC,2025-01-09,599.97,497310,7908.0,0.0159,226,8267.0,13.78,Image,Stretch that snaps back — durable men inner vests.,Lookalike,Facebook,US
Men ComfortMax Launch,Adset-3 ATC,2025-01-10,96.65,470095,6339.0,0.0135,214,7661.75,79.27,Video,3‑pack deal ends tonight — upgrade your men drawer with trunks.,Broad,Facebook,IN
Men_ComfortMax_Launch,Adset-3 ATC,2025-01-11,,45859,580.0,0.0127,0,445.62,,UGC,"All‑day comfort, zero pinch — try our men trunks!",Broad,Instagram,US
Men ComfortMax Launch,Adset-3 ATC,2025-01-12,415.43,48618,,0.0159,13,356.75,0.86,Carousel,Seamless confidence for every day — new men boxers.,Lookalike,Facebook,IN
Men Comfortmax Launch,Adset-3 ATC,2025-01-13,683.11,106079,1886.0,0.0178,51,1282.97,1.88,Video,Seamless confidence for every day — new men briefs.,Broad,Facebook,IN
Men  CofortMax  Launch,Adset-3 ATC,2025-01-14,241.81,73664,1707.0,0.0232,51,1804.66,7.46,Video,No ride‑up guarantee — best‑selling men briefs back in stock.,Lookalike,Facebook,US
Men ComfortMax Launch,Adset-3 ATC,2025-01-15,158.12,503992,8061.0,0.016,226,10047.78,63.55,Carousel,Breathable cotton that moves with you — limited offer on men athletic briefs.,Broad,Facebook,US
Men_ComfortMax_Launch,Adset-3 ATC,2025-01-16,628.64,345491,7762.0,0.0225,170,7319.9,11.64,Carousel,"All‑day comfort, zero pinch — try our men trunks!",Lookalike,Facebook,UK
Men ComfortMax Launch,Adset-3 ATC,2025-01-17,339.07,231495,,0.0209,0,3868.21,11.41,Video,Breathable bamboo that moves with you — limited offer on men inner vests.,Broad,Facebook,UK
Men ComfortMax Launch,Adset-3 ATC,2025-01-18,892.01,157240,1841.0,0.0117,43,1650.6,1.85,Video,Invisible under tees — seamless men trunks.,Broad,Instagram,IN
Men_ComfortMax_Launch,Adset-3 ATC,2025-01-19,917.86,406435,4546.0,0.0112,119,5305.74,5.78,Carousel,Invisible under tees — seamless men briefs.,Broad,Instagram,IN
Men ComfortMax Launch,Adset-3 ATC,2025-01-20,729.59,120463,2173.0,0.018,64,2418.28,3.31,Carousel,Invisible under tees — seamless men boxers.,Broad,Facebook,US
Men Comfortmax Launch,Adset-3 ATC,2025-01-21,662.61,270247,4694.0,0.0174,72,2635.19,3.98,Carousel,Seamless confidence for every day — new men athletic briefs.,Broad,Facebook,IN
Men ComfortMax Launch,Adset-3 ATC,2025-01-22,94.75,16740,308.0,0.0184,8,316.82,3.34,Image,3‑pack deal ends tonight — upgrade your men drawer with trunks.,Retargeting,Facebook,IN
men comfor-max launch,Adset-3 ATC,2025-01-23,,324920,4841.0,0.0149,91,2999.73,8.08,Image,Seamless confidence for every day — new men briefs.,Lookalike,Instagram,US
Men ComfortMax Launch,Adset-3 ATC,2025-01-24,364.16,518137,5686.0,0.011,178,7463.06,20.49,Video,Hot & comfy: men athletic briefs now 20% off — feel the difference.,Broad,Instagram,US
Men ComfortMax Launch,Adset-3 ATC,2025-01-25,626.01,365374,7485.0,0.0205,150,5082.22,8.12,Image,Breathable microfiber that moves with you — limited offer on men briefs.,Lookalike,Instagram,US
Men ComfortMax Launch,Adset-3 ATC,2025-01-26,800.74,297234,5134.0,0.0173,171,6201.25,7.74,Image,"Ultra‑soft waistband, no marks — premium men trunks.",Broad,Facebook,US
Men  ComfortMax  Launch,Adset-3 ATC,2025-01-27,432.33,431125,5957.0,0.0138,141,2760.9,6.39,Image,3‑pack deal ends tonight — upgrade your men drawer with trunks.,Broad,Facebook,UK
Men ComfortMax Launch,Adset-3 ATC,2025-01-28,737.06,274772,4389.0,0.016,80,2148.9,2.92,Video,Hot & comfy: men boxers now 20% off — feel the difference.,Lookalike,Facebook,US
Men ComforMax Launch,Adset-3 ATC,2025-01-29,137.81,124070,2420.0,0.0195,64,2877.14,20.88,Video,Doctors recommend breathable microfiber — meet our men trunks.,Broad,Facebook,US
Men_ComfortMax_Launch,Adset-3 ATC,2025-01-30,571.11,72114,1329.0,0.0184,36,1203.86,2.11,Video,Hot & comfy: men briefs now 20% off — feel the difference.,Retargeting,Facebook,UK
Men ComfortMax Lau-ch,Adset-3 ATC,2025-01-31,272.12,181931,2703.0,0.0149,74,1928.85,7.09,UGC,"Ultra‑soft waistband, no marks — premium men briefs.",Broad,Instagram,US
Men ComfortMax Launch,Adset-3 ATC,2025-02-01,65.01,419742,5893.0,0.014,107,2311.62,35.56,Video,Invisible under tees — seamless men inner vests.,Broad,Facebook,US
en_ComfortMax_Launch,Adset-3 ATC,2025-02-02,590.29,233920,5067.0,0.0217,163,5619.6,9.52,Video,"Push comfort, not wires — everyday men athletic briefs.",Retargeting,Facebook,US
MEN COMFORTMAX LAUNCH,Adset-3 ATC,2025-02-03,558.85,40983,542.0,0.0132,10,424.69,0.76,Image,Invisible under tees — seamless men trunks.,Broad,Instagram,UK
Men ComfortMax Launch,Adset-3 ATC,2025-02-04,,240467,3574.0,0.0149,80,3397.9,10.36,Image,"Push comfort, not wires — everyday men boxers.",Broad,Instagram,US
men comfortmax launch,Adset-3 ATC,2025-02-05,424.21,469115,6664.0,0.0142,159,,16.23,Video,Doctors recommend breathable modal — meet our men inner vests.,Lookalike,Facebook,US
Men ComfortMax Launch,Adset-3 ATC,2025-02-06,313.52,383257,5473.0,0.0143,182,5555.76,17.72,Carousel,"Push comfort, not wires — everyday men inner vests.",Retargeting,Facebook,US
MEN COMFORTMAX LAUNCH,Adset-3 ATC,2025-02-07,115.84,88833,1744.0,0.0196,35,1433.83,12.38,Image,Cooling mesh panels for workouts — men athletic briefs you’ll actually love.,Broad,Facebook,US
MEN COMFORTMAX LAUNCH,Adset-3 ATC,2025-02-08,521.84,70302,893.0,0.0127,24,475.85,0.91,Video,Summer‑ready essentials — sweat‑wicking men briefs.,Broad,Facebook,IN
Men  ComfortMax  Launch,Adset-3 ATC,2025-02-09,517.53,96213,2177.0,0.0226,58,1767.95,3.42,Carousel,Confidence starts inside — elevate with men trunks.,Broad,Instagram,US
men comfotmax launch,Adset-3 ATC,2025-02-10,567.87,289079,5329.0,0.0184,108,4295.47,7.56,Video,Doctors recommend breathable bamboo — meet our men boxers.,Lookalike,Facebook,US
Men ComfortMax Launch,Adset-3 ATC,2025-02-11,173.53,143379,2341.0,0.0163,50,1921.61,11.07,Image,Cooling mesh panels for workouts — men inner vests you’ll actually love.,Lookalike,Facebook,UK
Men ComfortMax Launch,Adset-3 ATC,2025-02-12,243.04,458827,7816.0,0.017,252,11237.87,46.24,Carousel,"Push comfort, not wires — everyday men trunks.",Retargeting,Facebook,US
Men ComfortMax Launch,Adset-3 ATC,2025-02-13,442.31,264888,4147.0,0.0157,104,4180.47,9.45,Image,No ride‑up guarantee — best‑selling men trunks back in stock.,Lookalike,Facebook,US
Men Comfortmax Launch,Adset-3 ATC,2025-02-14,980.17,115513,1216.0,0.0105,31,1041.45,1.06,Image,"Ultra‑soft waistband, no marks — premium men athletic briefs.",Lookalike,Instagram,US
Men_ComfortMax_Launch,Adset-3 ATC,2025-02-15,958.27,92241,1527.0,0.0166,32,1316.6,1.37,Carousel,Hot & comfy: men trunks now 20% off — feel the difference.,Broad,Instagram,UK
Men ComfortMax Launch,Adset-3 ATC,2025-02-16,343.78,511628,8763.0,0.0171,190,4365.07,12.7,Image,Breathable modal that moves with you — limited offer on men boxers.,Broad,Facebook,US
Men_ComfortMax_Launch,Adset-3 ATC,2025-02-17,407.25,460267,7487.0,0.0163,228,10162.18,24.95,Video,Confidence starts inside — elevate with men boxers.,Retargeting,Instagram,IN
Men ComfortMax Launch,Adset-3 ATC,2025-02-18,564.73,96305,989.0,0.0103,28,626.65,1.11,Video,"Ultra‑soft waistband, no marks — premium men athletic briefs.",Broad,Facebook,IN
Men ComfortMax Launch,Adset-3 ATC,2025-02-19,741.12,464251,6857.0,0.0148,168,3874.1,5.23,UGC,Cooling mesh panels for workouts — men boxers you’ll actually love.,Broad,Facebook,IN
Men ComfortMax Launch,Adset-3 ATC,2025-02-20,766.9,286723,4204.0,0.0147,122,,4.89,Carousel,Summer‑ready essentials — sweat‑wicking men athletic briefs.,Lookalike,Facebook,US
Men ComfortMax Launch,Adset-3 ATC,2025-02-21,465.99,182285,4220.0,0.0232,138,2858.98,6.14,Carousel,"All‑day comfort, zero pinch — try our men athletic briefs!",Retargeting,Facebook,US
Men ComfortMax Launch,Adset-3 ATC,2025-02-22,115.8,188754,2713.0,0.0144,60,2134.86,18.44,Video,Summer‑ready essentials — sweat‑wicking men briefs.,Broad,Facebook,UK
Men_ComfortMax_Launch,Adset-3 ATC,2025-02-23,,334144,,0.0176,102,3726.15,5.48,Video,3‑pack deal ends tonight — upgrade your men drawer with boxers.,Lookalike,Instagram,IN
Men ComfortMax Launch,Adset-3 ATC,2025-02-24,112.83,127407,1711.0,0.0134,47,1726.88,15.31,Image,3‑pack deal ends tonight — upgrade your men drawer with inner vests.,Broad,Instagram,UK
MEN COMFORTMAX LAUNCH,Adset-3 ATC,2025-02-25,93.41,166404,3132.0,0.0188,82,3404.85,36.45,Carousel,Hot & comfy: men inner vests now 20% off — feel the difference.,Lookalike,Facebook,US
Men_ComfortMax_Launch,Adset-3 ATC,2025-02-26,425.1,144225,1355.0,0.0094,36,755.88,1.78,Video,Doctors recommend breathable bamboo — meet our men inner vests.,Broad,Instagram,IN
men comfortmax launch,Adset-3 ATC,2025-02-27,622.79,508214,4137.0,0.0081,84,3190.1,5.12,Carousel,"Wire‑free ease, cloud‑soft cups — men trunks that fits right.",Broad,Instagram,UK
Men  ComfortMax  Launch,Adset-3 ATC,2025-02-28,389.09,160446,2492.0,0.0155,64,1183.12,3.04,Carousel,"Ultra‑soft waistband, no marks — premium men briefs.",Lookalike,Instagram,UK
Men Comfortmax Launch,Adset-3 ATC,2025-03-01,1082.82,69190,1023.0,0.0148,26,535.77,0.49,Image,Hot & comfy: men inner vests now 20% off — feel the difference.,Lookalike,Facebook,UK
MEN COMFORTMAX LAUNCH,Adset-3 ATC,2025-03-02,91.55,250134,4794.0,0.0192,0,2003.96,21.89,Image,3‑pack deal ends tonight — upgrade your men drawer with athletic briefs.,Lookalike,Facebook,UK
MEN COMFORTMAX LAUNCH,Adset-3 ATC,2025-03-03,879.47,351244,4343.0,0.0124,101,3984.81,4.53,Carousel,Invisible under tees — seamless men athletic briefs.,Broad,Instagram,UK
Men ComfortMax Launch,Adset-3 ATC,2025-03-04,636.97,446693,,0.0141,197,6731.97,10.57,Video,Hot & comfy: men athletic briefs now 20% off — feel the difference.,Retargeting,Facebook,UK
Men Comfortmax Launch,Adset-3 ATC,2025-03-05,478.14,274862,5151.0,0.0187,105,4083.95,8.54,UGC,"Ultra‑soft waistband, no marks — premium men trunks.",Lookalike,Instagram,US
Men Comfortmax Launch,Adset-3 ATC,2025-03-06,640.56,237237,5759.0,0.0243,172,5843.84,9.12,UGC,Invisible under tees — seamless men trunks.,Broad,Facebook,US
Men ComfortMax Launch,Adset-3 ATC,2025-03-07,175.76,259734,4989.0,0.0192,123,4683.48,26.65,UGC,Breathable bamboo that moves with you — limited offer on men trunks.,Broad,Instagram,US
men comfortmax launch,Adset-3 ATC,2025-03-08,337.92,195821,2426.0,0.0124,65,2875.04,8.51,Carousel,Seamless confidence for every day — new men trunks.,Retargeting,Instagram,IN
Men  ComfortMax  Launch,Adset-3 ATC,2025-03-09,430.2,117152,970.0,0.0083,22,872.74,2.03,Carousel,Stretch that snaps back — durable men boxers.,Lookalike,Instagram,IN
Men Comfortmax Launch,Adset-3 ATC,2025-03-10,596.92,485330,6805.0,0.014,0,3287.49,5.51,Video,"Wire‑free ease, cloud‑soft cups — men boxers that fits right.",Lookalike,Instagram,US
MEN COMFORTMAX LAUNCH,Adset-3 ATC,2025-03-11,326.15,368747,3842.0,0.0104,78,2292.37,7.03,Carousel,"All‑day comfort, zero pinch — try our men briefs!",Broad,Facebook,US
Men  ComfortMax  Launch,Adset-3 ATC,2025-03-12,570.25,169161,2284.0,0.0135,64,2195.36,3.85,Video,Cooling mesh panels for workouts — men boxers you’ll actually love.,Retargeting,Instagram,UK
MEN COMFORTMAX LAUNCH,Adset-3 ATC,2025-03-13,339.67,199478,1771.0,0.0089,40,1531.27,4.51,Video,Confidence starts inside — elevate with men inner vests.,Broad,Facebook,IN
Men  ComfortMax  Launch,Adset-3 ATC,2025-03-14,161.15,490396,8622.0,0.0176,247,8405.12,52.16,UGC,Hot & comfy: men athletic briefs now 20% off — feel the difference.,Broad,Instagram,IN
Men ComfortMax Launch,Adset-3 ATC,2025-03-15,632.73,73243,1549.0,0.0211,28,512.85,0.81,Image,"Ultra‑soft waistband, no marks — premium men trunks.",Lookalike,Facebook,US
Men ComfortMax Launch,Adset-3 ATC,2025-03-16,171.31,258888,3596.0,0.0139,87,1854.93,10.83,Image,Hot & comfy: men briefs now 20% off — feel the difference.,Broad,Facebook,IN
MenComfortmax Launch,Adset-3 ATC,2025-03-17,927.85,363786,6235.0,0.0171,111,2916.02,3.14,Image,"Wire‑free ease, cloud‑soft cups — men trunks that fits right.",Broad,Instagram,UK
men comfortmax launch,Adset-3 ATC,2025-03-18,272.95,417577,7298.0,0.0175,181,7737.6,28.35,Video,Cooling mesh panels for workouts — men athletic briefs you’ll actually love.,Lookalike,Facebook,UK
Men  ComfortMax  Launch,Adset-3 ATC,2025-03-19,363.03,370437,4770.0,0.0129,90,2666.19,7.34,Image,"All‑day comfort, zero pinch — try our men trunks!",Broad,Instagram,UK
Men ComfortMax Launch,Adset-3 ATC,2025-03-20,717.37,90465,1517.0,0.0168,35,951.87,1.33,UGC,Invisible under tees — seamless men trunks.,Lookalike,Instagram,US
MEN COMFORTMAX LAUNCH,Adset-3 ATC,2025-03-21,700.55,197213,2527.0,0.0128,58,2121.84,3.03,Image,Seamless confidence for every day — new men briefs.,Lookalike,Instagram,UK
Men  C-mfortMax  Launch,Adset-3 ATC,2025-03-22,195.59,501720,6845.0,0.0136,181,4040.04,20.66,UGC,"Wire‑free ease, cloud‑soft cups — men trunks that fits right.",Retargeting,Instagram,UK
Men_ComfortMax_Launch,Adset-3 ATC,2025-03-23,190.17,171495,2382.0,0.0139,72,3208.92,16.87,Image,Invisible under tees — seamless men boxers.,Broad,Instagram,UK
men comfortmax launch,Adset-3 ATC,2025-03-24,585.81,184916,2104.0,0.0114,0,2507.14,4.28,Carousel,"Wire‑free ease, cloud‑soft cups — men boxers that fits right.",Retargeting,Instagram,UK
Men Comfortmax Launch,Adset-3 ATC,2025-03-25,282.59,41284,854.0,0.0207,12,404.07,1.43,UGC,Stretch that snaps back — durable men briefs.,Broad,Instagram,US
men comfortmax launch,Adset-3 ATC,2025-03-26,312.43,260360,5059.0,0.0194,178,6186.89,19.8,Video,"Ultra‑soft waistband, no marks — premium men boxers.",Retargeting,Facebook,US
Men ComfortMax Launch,Adset-3 ATC,2025-03-27,502.77,127696,671.0,0.0053,17,550.82,1.1,Video,"All‑day comfort, zero pinch — try our men athletic briefs!",Broad,Instagram,IN
Men ComfortMax Launch,Adset-3 ATC,2025-03-28,151.95,75408,977.0,0.013,28,1217.7,8.01,Carousel,Breathable organic cotton that moves with you — limited offer on men boxers.,Broad,Instagram,UK
Men  ComfortMax  Launch,Adset-3 ATC,2025-03-29,452.51,311075,3955.0,0.0127,76,2931.21,6.48,UGC,"All‑day comfort, zero pinch — try our men briefs!",Broad,Instagram,US
Men ComfortMax Launch,Adset-3 ATC,2025-03-30,719.29,305257,3140.0,0.0103,71,2377.45,3.31,Video,Confidence starts inside — elevate with men athletic briefs.,Broad,Instagram,US
Men_ComfortMax_Launch,Adset-3 ATC,2025-03-31,95.48,271299,3674.0,0.0135,115,4205.38,44.04,Video,"Wire‑free ease, cloud‑soft cups — men inner vests that fits right.",Retargeting,Instagram,IN
Men ComfortMax Launch,Adset-4 LAL1,2025-01-01,441.46,80293,1009.0,0.0126,17,675.24,1.53,Image,"Push comfort, not wires — everyday men boxers.",Broad,Facebook,IN
Men ComfortMax Launch,Adset-4 LAL1,2025-01-02,89.06,355825,5102.0,0.0143,143,5432.98,61.0,Video,No ride‑up guarantee — best‑selling men athletic briefs back in stock.,Lookalike,Instagram,US
Men ComfortMax Launch,Adset-4 LAL1,2025-01-03,637.03,346538,6429.0,0.0186,167,3405.52,5.35,UGC,"Push comfort, not wires — everyday men briefs.",Broad,Instagram,US
Men ComfortMax Launch,Adset-4 LAL1,2025-01-04,295.06,45533,815.0,0.0179,16,637.16,2.16,Video,"Wire‑free ease, cloud‑soft cups — men athletic briefs that fits right.",Broad,Facebook,US
Men  ComfortMax  Launch,Adset-4 LAL1,2025-01-05,198.53,497198,5104.0,0.0103,126,2529.48,12.74,Image,Hot & comfy: men boxers now 20% off — feel the difference.,Broad,Facebook,UK
Men  ComfortMax  Launch,Adset-4 LAL1,2025-01-06,74.61,49034,766.0,0.0156,12,291.29,3.9,Image,No ride‑up guarantee — best‑selling men inner vests back in stock.,Lookalike,Facebook,IN
MEN COMFORTMAX  AUNCH,Adset-4 LAL1,2025-01-07,536.17,484047,8458.0,0.0175,192,5122.63,9.55,Video,Summer‑ready essentials — sweat‑wicking men trunks.,Broad,Facebook,IN
Men ComfortMax Launch,Adset-4 LAL1,2025-01-08,977.31,193769,2820.0,0.0146,27,913.1,0.93,Image,Cooling mesh panels for workouts — men athletic briefs you’ll actually love.,Broad,Instagram,UK
Men Comfortmax Launch,Adset-4 LAL1,2025-01-09,87.11,134901,2619.0,0.0194,71,2337.14,26.83,Carousel,Stretch that snaps back — durable men athletic briefs.,Broad,Instagram,US
Men ComfortMax Launch,Adset-4 LAL1,2025-01-10,299.98,156411,2104.0,0.0135,43,1643.18,5.48,Video,3‑pack deal ends tonight — upgrade your men drawer with briefs.,Broad,Instagram,IN
Men_ComfortMax_Launch,Adset-4 LAL1,2025-01-11,49.08,271653,4660.0,0.0172,113,4594.82,93.62,Image,Stretch that snaps back — durable men briefs.,Broad,Facebook,US
Men ComfortMax Launch,Adset-4 LAL1,2025-01-12,316.48,440097,9898.0,0.0225,298,8854.49,27.98,Image,Doctors recommend breathable organic cotton — meet our men athletic briefs.,Retargeting,Facebook,US
Men Comfortmax Launch,Adset-4 LAL1,2025-01-13,633.24,501751,9700.0,0.0193,202,6329.26,10.0,Carousel,"Ultra‑soft waistband, no marks — premium men inner vests.",Lookalike,Facebook,US
